Turkish,Russian
bir,один
ve,а также
olmak,быть
bu,Это
için,за
o,она
ben,я
demek,сказать
çok,очень
yapmak,сделать
ne,Какие
gibi,подобно
daha,Больше
almak,получить
var,Там есть
kendi,своя
gelmek,приходить
ile,с участием
vermek,дать
ama,но
sonra,затем
kadar,до
yer,место
en,самый
insan,человек
değil,не
her,каждый
istemek,запрос
yıl,год
çıkmak,Выход
görmek,увидеть
gün,день
biz,мы
gitmek,идти
iş,бизнес
şey,вещь
ara,Поиск
ki,что
bilmek,знать
el,рука
zaman,время
ya,либо
çocuk,ребенок
iki,два
bakmak,смотреть
çalışmak,Работа
içinde,в
büyük,большой
yok,нет
başlamak,начать
yol,путь
kalmak,оставаться
neden,почему это
siz,вы
konu,предмет
yapılmak,сделать
iyi,хороший
kadın,женщина
ev,дом
ise,если
diye,что
bulunmak,иметь
söylemek,сказать
göz,глаз
gerekmek,требуется
dünya,Мир
baş,верхняя
durum,положение дел
yan,боковая сторона
geçmek,проходят
sen,радостный
onlar,их
yeni,новый
önce,до
başka,еще один
hal,положение дел
orta,средний
su,Что
girmek,войти
ülke,страна
yemek,есть
hiç,нет
bile,четный
nasıl,как
bütün,все
karşı,против
bulmak,найти
böyle,такие
yaşamak,прямой эфир
düşünmek,думать
aynı,тем же
iç,внутренний
ancak,но
kişi,человек
bunlar,эти
veya,или
ilk,первый
göre,от
ön,фронт
son,конец
biri,кто то
şekil,фигура
önemli,важный
yüz,лицо
hem,а также
göstermek,шоу
etmek,делать
alt,ниже
getirmek,принести
kullanmak,использование
çünkü,так как
taraf,боковая сторона
şimdi,сейчас же
adam,мужчина
onun,ее
diğer,Другие
artık,больше никогда
üzerinde,над
ses,звук
hep,всегда
doğru,правда
durmak,стоп
kız,девушка
tüm,все
çekmek,привлекать
konuşmak,разговаривать
para,Деньги
anlamak,понять
anne,Мама
az,маленький
bazı,Некоторые
baba,отец
hayat,жизнь
sadece,только
küçük,маленький
fazla,много
bilgi,Информация
an,момент
sormak,просить
bunun,его
öyle,так
yine,еще раз
sağlamak,предоставлять
sonuç,результат
kullanılmak,быть использованным
dış,зубы
ad,название
yani,так
süre,время
dönmek,возвращение
açmak,открытым
oturmak,сидеть
anlatmak,сказать
bırakmak,"Покидать, оставлять"
hemen,сейчас же
saat,час
yaş,возраст
sorun,проблема
devlet,штат
sahip,владелец
sıra,стол письменный
yazmak,записывать
yüzde,процентов
ay,Луна
atmak,выбросить
tutmak,хранить
bunu,этот
olay,событие
düşmek,падать
duymak,заслушивать
söz,обещание
güzel,прекрасный
sevmek,люблю
biraz,некоторые
zor,трудно
çıkarmak,выталкивания
şu,Что
koymak,ставить
tek,Один
sistem,система
birlikte,все вместе
verilmek,чтобы дать
kim,ВОЗ
alınmak,быть взятым
genç,молодой
kapı,дверь
kitap,книга
üzerine,над
burada,Вот
gece,ночь
alan,площадь
birbiri,друг друга
işte,Запрос
beklemek,Подождите
uzun,длинный
hiçbir,нет
bugün,Cегодня
dönem,период
arkadaş,друг
ürün,товар
aile,семья
üç,три
okumak,чтение
erkek,мужчина
herkes,каждый
güç,сила
belki,может быть
gerçek,реальный
tam,полный
ilgili,около
ilişki,отношения
çevre,Окружающая среда
eski,старый
aramak,вызов
yaşam,жизнь
halk,люди
yakın,около
sokak,улица
bey,бей
tarih,история
özellik,свойство
bölüm,эпизод
özel,специальный
akıl,разум
kimse,никто
pek,очень
eğer,если
gerek,нужно
özellikle,особенно
anlam,имея в виду
yüksek,высоко
banka,банка
kez,раз
ayak,нога
taşımak,транспорт
geri,назад
toplum,общество
araç,транспортное средство
madde,иметь значение
tür,Добрый
karar,решение
görülmek,происходить
hava,воздух
sayı,число
farklı,разные
grup,группа
oda,комната
biçim,формат
oluşmak,происходить
haber,Новости
Allah,Бог
ayrıca,также
gelen,входящий
birkaç,несколько
soru,вопрос
arka,назад
kazanmak,выиграть
yazı,статья
okul,школа
açık,открытым
öğrenmek,учиться
sürmek,вести
dil,язык
şirket,Компания
kaynak,источник
bitmek,конец
program,программа
devam etmek,Продолжать
hareket,движение
renk,цвет
açılmak,открытым
hak,верно
inanmak,верить
çalışma,Работа
açı,боль
parça,кусок
gazete,газета
oluşturmak,Создайте
tabi,предмет
değer,значение
tanımak,знать
yapı,состав
doktor,доктор
gelir,доход
görev,задача
amaç,Цель
bölge,область
film,фильм
üzere,в
müşteri,покупатель
zaten,уже
telefon,телефон
eğitim,образование
deniz,море
ikinci,второй
kalkmak,вставай
hatta,четный
etki,эффект
gelişmek,процветать
geçen,прошлой
vücut,тело
düşünce,идея
milyon,миллиона
oynamak,играть
değişmek,изменения
temel,основной
yaratmak,Создайте
ulaşmak,досягаемость
sanmak,предполагать
geçirmek,Путин
kültür,культура
kurmak,установить
fakat,но
buna,этот
resim,картина
ışık,легкий
içmek,напиток
hanım,леди
hizmet,оказание услуг
ihtiyaç,нужно
nokta,точка
yön,направление
evet,да уж
oyun,игра
artmak,увеличение
yeniden,еще раз
işlem,операция
kısa,короткая
kolay,легко
hangi,который
oran,показатель
aslında,фактически
kabul etmek,принять
orada,там
dikkat,внимание
uzak,далеко
bilgisayar,компьютер
gelecek,будущее
görünmek,казаться
örneğin,например
oğul,сын
dinlemek,Слушать
uygun,соответствующий
lira,лира
üretim,производство
dakika,минут
unutmak,забывать
yürümek,ходить
böylece,таким образом
kötü,плохой
araba,машина
ağız,рот
duygu,эмоция
uygulamak,применять
hâlâ,все еще
örnek,образец
birçok,многие
izlemek,смотреть
derece,степень
mümkün,возможный
şöyle,В качестве
duvar,стена
on,фронт
sanat,Изобразительное искусство
ana,мать
hastalık,болезнь
öğrenci,студент
televizyon,телевидение
yöntem,метод
masa,Таблица
ölmek,умереть
takım,команда
üst,верхняя
kafa,голова
müzik,Музыка
ayrılmak,уехать
enerji,энергия
üniversite,Университет
spor,спорт
türlü,разные
can,колокол
rağmen,несмотря на
kısım,часть
ölüm,смерть
sürekli,непрерывный
sağlık,здоровье
çeşitli,разные
bundan,из этого
hissetmek,Чувствовать
oysa,в то время как
sabah,утро
internet,интернет
teknik,технический
dışarı,вне
merkez,центр
ortam,Окружающая среда
yerine,вместо
düzey,уровень
köy,ставить
yönetim,администрация
aşağı,вниз
cevap,Ответить
yatmak,ложь
toprak,почва
isim,название
akşam,вечер
araştırma,исследование
götürmek,принимать
katılmak,присоединиться
yoksa,или
kurulmak,будет построен
ödemek,платить
sanki,если
kan,кровь
hasta,терпеливый
şehir,город
inmek,зажженный
sunmak,предлагает
bilinmek,быть известным
hafta,неделя
trafik,движение
hesap,Счет
otomobil,машина
yabancı,иностранные
davranış,поведение
mutfak,кухня
kent,город
bazen,иногда
belli,определенный
ayrı,отдельный
fiyat,цена
hakkında,около
kaldırmak,удалять
kol,рука
yalnız,один
hazırlamak,подготовить
cam,сосна
sonunda,наконец-то
yavaş,медленный
gerekli,необходимо
önem,важность
koca,муж
yanlış,ложный
varlık,присутствие
art,выросла
ilgi,интерес
sana,вы
satış,продажи
içeri,внутри
doğal,натуральный
sahip olmak,иметь
ekonomik,экономической
acı,боль
hayır,нет
korumak,защищать
kat,пол
ekonomi,экономика
genel,Генеральная
belirtmek,уточнить
fotoğraf,Фото
